"Zip","Latitude","Longitude","LatLong","StateCode"
"93715",36.747500,-119.771600,"36.747500:-119.771600","CA"
"93720",36.861368,-119.761194,"36.861368:-119.761194","CA"
"93722",36.804425,-119.888939,"36.804425:-119.888939","CA"
"93723",36.787860,-119.952447,"36.787860:-119.952447","CA"
"93725",36.605712,-119.718529,"36.605712:-119.718529","CA"
"93726",36.793996,-119.759006,"36.793996:-119.759006","CA"
"93727",36.754114,-119.673254,"36.754114:-119.673254","CA"
"93728",36.757392,-119.817429,"36.757392:-119.817429","CA"
"93730",36.905141,-119.760045,"36.905141:-119.760045","CA"
"93737",36.750574,-119.657832,"36.750574:-119.657832","CA"
"94010",37.567832,-122.369448,"37.567832:-122.369448","CA"
"94022",37.365558,-122.148494,"37.365558:-122.148494","CA"
"94024",37.355148,-122.110958,"37.355148:-122.110958","CA"
"94025",37.459034,-122.186055,"37.459034:-122.186055","CA"
"94027",37.450128,-122.205016,"37.450128:-122.205016","CA"
"94061",37.463334,-122.240826,"37.463334:-122.240826","CA"
"94062",37.408826,-122.295220,"37.408826:-122.295220","CA"
"94070",37.494965,-122.267654,"37.494965:-122.267654","CA"
"94086",37.369650,-122.024210,"37.369650:-122.024210","CA"
"94087",37.353510,-122.030476,"37.353510:-122.030476","CA"
"94127",37.732366,-122.457441,"37.732366:-122.457441","CA"
"94301",37.442960,-122.151198,"37.442960:-122.151198","CA"
"94303",37.457790,-122.122538,"37.457790:-122.122538","CA"
"94402",37.539793,-122.329699,"37.539793:-122.329699","CA"
"94503",38.203596,-122.231947,"38.203596:-122.231947","CA"
"94510",38.095119,-122.126088,"38.095119:-122.126088","CA"
"94515",38.618420,-122.585518,"38.618420:-122.585518","CA"
"94518",37.953550,-122.021948,"37.953550:-122.021948","CA"
"94533",38.280160,-122.020170,"38.280160:-122.020170","CA"
"94534",38.225028,-122.124457,"38.225028:-122.124457","CA"
"94538",37.510101,-121.986139,"37.510101:-121.986139","CA"
"94539",37.528786,-121.910321,"37.528786:-121.910321","CA"
"94550",37.509776,-121.638874,"37.509776:-121.638874","CA"
"94556",37.838176,-122.103992,"37.838176:-122.103992","CA"
"94558",38.529720,-122.279498,"38.529720:-122.279498","CA"
